IncidentNumber,IncidentDate,Exposures,Patients,IncidentTime,Address,Latitude,Longitude,StationNumber,IncidentType,Complete,Reviewed,RunNumber,Imported
2006-0606958,2006-06-22,1,0,15:51:03,899 NORTHGATE DR San Rafael CA 94903,38.0064,-122.5459,56,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0600458,2006-06-09,1,0,13:50:47,810 BUTTERNUT DR San Rafael CA 94903,38.0113,-122.5651,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0606474,2006-05-25,1,0,14:23:32,301 SMITH RANCH RD San Rafael CA 94903,38.024,-122.5237,,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0600407,2006-05-25,1,0,14:06:03,200 MILLER CREEK RD San Rafael CA 94903,38.0331,-122.5424,8,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0606419,2006-05-22,1,0,15:14:27,4050 REDWOOD HWY San Rafael CA 94903,38.0079,-122.5407,57,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0600790,2006-02-06,1,0,12:00:41,26 STEVEN WY San Rafael CA 94903,38.0058,-122.5238,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2005-0504829,2005-10-17,1,0,21:38:25,24 VALENCIA AVE SAN RAFAEL CA 94901,37.973,-122.5122,52,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2005-0504655,2005-10-07,1,0,11:59:58,1011 ANDERSEN DR San Rafael CA 94901,37.9558,-122.5032,54,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0700479,2007-06-27,1,0,23:11:11,820 IDYLBERRY RD San Rafael CA 94903,38.0286,-122.5604,8,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0702979,2007-06-27,1,0,19:04:44,1408 MISSION AVE San Rafael CA 94901,37.9757,-122.532,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2007-070462,2007-06-22,1,0,16:12:22,1 SAINT VINCENTS DR San Rafael CA 94903,38.0345,-122.5266,8,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0702738,2007-06-16,1,0,12:09:31,14 CORTE CAPISTRANO San Rafael CA 94903,38.0209,-122.5452,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702708,2007-06-14,1,0,15:58:05,227 LUCAS PARK DR San Rafael CA 94903,38.0246,-122.5453,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702706,2007-06-14,1,0,0:00:00,101 LUCAS VALLEY RD San Rafael CA 94903,38.0238,-122.5442,56,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0702565,2007-06-06,1,0,17:34:27,1515 THIRD ST San Rafael CA 95401,37.9722,-122.5337,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702563,2007-06-06,1,0,16:06:04,179 PAUL DR San Rafael CA 94903,38.0187,-122.5371,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0702438,2007-05-29,1,0,12:28:21,145 JORDAN ST San Rafael CA 94901,37.9647,-122.5233,1,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0702289,2007-05-19,1,0,11:53:31,40 CRESTVIEW DR San Rafael CA 94903,38.0094,-122.5184,57,143 - Grass fire,TRUE,TRUE,,TRUE
2007-0700275,2007-04-13,1,0,11:10:09,1 SAINT VINCENTS DR San Rafael CA 94903,38.0345,-122.5266,8,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0700236,2007-03-31,1,0,15:55:03,1 SAINT VINCENTS DR San Rafael CA 94903,38.0345,-122.5266,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0701274,2007-03-18,1,0,14:08:31,1408 MISSION AVE San Rafael CA 94901,37.9757,-122.532,1,"141 - Forest, woods or wildland fire",TRUE,TRUE,,TRUE
2006-0609291,2006-10-25,1,0,13:27:39,3020 KERNER BLVD San Rafael CA 94901,37.9561,-122.4981,54,143 - Grass fire,TRUE,TRUE,,TRUE
2006-0609181,2006-10-19,1,0,12:29:12,34 BAYWOOD TER San Rafael CA 94901,37.9597,-122.5212,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0600733,2006-09-20,1,0,6:41:18,120 N REDWOOD DR San Rafael CA 94903,38.0208,-122.5361,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0608179,2006-08-27,1,0,23:22:06,1710 LINCOLN AVE San Rafael CA 94901,37.9851,-122.5251,1,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0608173,2006-08-27,1,0,17:23:56,100 THORNDALE DR San Rafael CA 94903,38.004,-122.5494,56,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2006-0607624,2006-07-27,1,0,2:08:49,562 WOODBINE DR San Rafael CA 94903,38.0144,-122.5556,,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2006-0607402,2006-07-16,1,0,22:45:32,634 FIFTH AVE San Rafael CA 94901,37.9734,-122.5219,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0803025,2008-06-17,1,0,16:16:04,600 LAS GALLINAS AVE San Rafael CA 94903,38.0064,-122.5424,56,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0802953,2008-06-12,1,0,17:22:23,665 N SAN PEDRO RD SAN RAFAEL CA 94903,38.0154,-122.5037,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0802575,2008-05-21,1,0,18:44:15,20 Marian CT San Rafael CA 94901,37.9669,-122.5012,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0802382,2008-05-12,1,0,15:39:36,3950 CIVIC CENTER DR San Rafael CA 94903,38.0034,-122.5372,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0802192,2008-05-03,1,0,12:12:59,160 OAK VIEW DR San Rafael CA 94903,37.9885,-122.5452,57,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0801994,2008-04-21,1,0,14:57:38,1220 ANDERSEN DR San Rafael CA 94901,37.9512,-122.4995,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0801955,2008-04-19,1,0,17:43:24,349 BAY WAY San Rafael CA 94901,37.9718,-122.4916,55,143 - Grass fire,TRUE,TRUE,,TRUE
2008-0801862,2008-04-14,1,0,15:21:53,2 CIVIC CENTER DR San Rafael CA 94901,37.9977,-122.5286,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0801801,2008-04-11,1,0,0:14:25,2960 KERNER BLVD San Rafael CA 94901,37.9548,-122.4972,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2008-0801721,2008-04-06,1,0,13:17:14,200 PEACOCK DR SAN RAFAEL CA 94901,37.993,-122.4721,55,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2008-0801340,2008-03-14,1,0,11:41:04,107 ALMOND CT San Rafael CA 94903,37.9945,-122.5361,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0705107,2007-11-06,1,0,11:57:15,23 JOSEPH CT SAN RAFAEL CA 94903,38.0113,-122.5406,57,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2007-0704831,2007-10-21,1,0,0:43:04,89 CHULA VISTA DR San Rafael CA 94901,37.9867,-122.5324,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0704125,2007-09-07,1,0,12:14:49,3501 CIVIC CENTER DR San Rafael CA 94901,37.9977,-122.5304,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2007-0703761,2007-08-16,1,0,17:48:39,90 WINDWARD WAY San Rafael CA 94901,37.9593,-122.4998,1,143 - Grass fire,TRUE,TRUE,,TRUE
